Hybridization REF	TCGA-AK-3443-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.08475
CREB3L1	-0.58925
RPS11	0.352375
PNMA1	-0.187
MMP2	-2.23216666666667
C10orf90	-1.39025
ZHX3	-0.737833333333333
ERCC5	-0.5295
GPR98	-1.039
RXFP3	0.8055
APBB2	1.052
PRO0478	-1.4275
KLHL13	1.50625
PRSSL1	-0.424166666666667
PDCL3	0.6125
DECR1	1.277375
SALL1	-0.339333333333333
CADM4	-0.438333333333333
RPS18	0.423142857142857
HNRPD	-1.12791666666667
CFHR5	0.605833333333333
SLC10A7	0.035
OR2K2	1.172
LMAN1	-0.743875
SUHW1	-1.95
CHD8	-1.4858
SUMO1	0.2544
GP1BA	0.0568
DDB1	-0.0281666666666667
MYO9B	-1.2416
MMP7	4.55225
CRNKL1	0.57575
C9orf45	-0.8285
XAB2	0.404625
RTN1	1.64825
KLHL14	-0.89225
TBX10	-1.0115
CENPQ	0.2865
UTY	1.9635
ZBTB12	-0.038
DTNBP1	-0.90375
KBTBD8	-1.32616666666667
ZEB1	-1.07266666666667
ZG16	-0.871
MIER1	0.3724
ADAM5P	-0.9715
CHD9	-0.2300625
STK16	-0.0515
KIAA1486	0.361
TOB2	1.40508333333333
BANK1	5.32025
OR2V2	0.91975
GRM2	0.680333333333333
PROSC	1.268125
SPIN2B	0.304
PIR	-1.84333333333333
IPO9	-0.4669
EVC	0.287
CXCL13	0.287
KIAA1199	-4.1858
SORL1	2.9595
NAT10	-0.3225
CHD1	-1.6385
SYN3	-0.11875
SLC22A2	-0.1845
SERPINF1	-4.36133333333333
WDR34	-1.98825
OR7A17	0.6875
C9orf11	-0.216
RNF216L	-0.7892
LHB	-0.168
STK25	0.22075
TAOK3	0.398125
LOC152573	-1.42325
C3orf39	0.3705
C14orf108	1.1963
CDC25B	-3.37736363636364
BMP3	0.5595
TMEM180	0.8825
MAP1LC3C	-0.0655
CRYGC	-0.854
POU3F1	-0.7204
C20orf32	-0.3105
CCDC95	-0.3695
HIGD1B	4.92775
USP6NL	-1.504
ABCD4	0.337333333333333
DIMT1L	-1.41366666666667
TEK	1.359875
SLC25A46	0.46
LARP7	-1.7019
CD160	0.351666666666667
MT1JP	-1.472
PHF20	-0.7233125
CPNE4	-1.4725
GTPBP1	-0.659285714285714
RAB33B	2.23766666666667
ALDOC	-3.62225
ZNF212	-1.1095
NUDT1	-2.13766666666667
RFPL2	-1.95475
ZNF83	-0.153833333333333
GDPD5	-2.001625
PDCD4	0.84415
CEP350	-1.3145
OR10A2	0.79475
CST7	-0.74475
CIAO1	0.172
SELL	0.76875
OR8J3	0.7595
LTBP4	-0.840833333333333
SIRT6	0.0325
CCL19	0.6365
PPIL1	-1.502
GBP7	-0.0878
STK17A	-0.0726
ABR	1.9335
OR9G1	0.485
FOXE1	0.103875
CNGA3	-1.197
GML	0.379
CD38	-3.6405
ZDHHC6	-0.374
NEFH	-4.869
CTDSP2	-0.0345
PGBD5	-1.50583333333333
CCNY	0.0737857142857143
RMND5B	1.066
ZNF257	-1.58825
FLJ22167	0.13975
EXOSC7	0.798333333333333
ROR2	-1.214625
MAOA	0.057625
TNNT3	-0.165
GYPC	-1.96575
C7orf33	1.1145
PLIN	0.505166666666667
LOC90826	1.377
RNF4	-0.5201
F8A1	0.185333333333333
PLEKHG4	-5.4205
GRB2	-0.4252
HIST1H2AD	-2.36
DUS3L	0.629333333333333
EIF1	0.1785
RP5-1077B9.4	-1.2195
FPGT	2.05425
GDF10	-1.91316666666667
COQ9	2.089
GCC2	1.33657142857143
RARRES3	3.94375
PLXNA1	-1.7667
KIAA0100	-0.241
PMF1	1.3065
FNDC1	-0.0525
HS2ST1	-0.188416666666667
CRELD2	-0.06375
C8G	-1.8165
CD82	-0.55625
LIM2	-0.455
UNQ6490	-0.0985
MMP16	-0.4525
DRD3	0.42175
C5orf26	-0.3935
C11orf73	-1.393125
PTP4A2	-0.383375
OR4M2	2.2395
HPCA	-0.9255
SEC14L1	0.0313333333333333
CHFR	-0.697875
EMILIN1	-0.79825
NDUFS4	0.92575
COL18A1	0.29125
PDZD3	0.0366
C9orf16	0.9875
ERBB2IP	0.417833333333333
EMX2	6.97675
FUS	-2.78275
TF	-4.6777
CLCN4	1.915
CXorf56	-0.18275
C11orf72	0.386
ELAC2	-1.03991666666667
NPR1	-0.3735
ASS1	-3.48883333333333
USP42	-0.322
POLR2J	-0.2585
SEC23IP	-0.0373333333333333
UQCRC1	1.823
LOC729603	0.405
C1orf71	-0.33925
POLG	-3.086
ADAM23	-4.73475
TFR2	-0.8255
RICTOR	0.3108
MGC39606	1.821
C19orf55	-0.302
SNAPC1	-0.153833333333333
GNA11	1.874375
CCDC52	0.0713333333333333
FSIP1	-1.5445
UPF3A	-0.902875
IGSF11	-1.822
LAGE3	-0.9855
CHST6	-4.8235
UNC13B	0.988
TTLL4	-2.6905
ZNF687	0.387375
SDC2	2.3015
COX7A2	1.8655
LAMB4	3.11225
FAM24A	1.0295
LRRTM3	-0.6002
GPHB5	0.24825
OR4C13	0.2455
EIF3EIP	0.887357142857143
HABP4	-0.13
TMEM125	1.59425
CNTN2	0.079375
ASNSD1	-0.90825
FUT4	-0.504125
ACF	-2.373
LOC158381	1.3445
CDH8	-0.19725
AGPS	-0.908166666666667
C4orf18	1.2645
PECI	1.39575
UNG	-0.116125
GSTP1	-0.5455
DCUN1D5	-1.71883333333333
DKFZP564J0863	0.25475
SLC9A3R1	0.222625
BCDO2	2.1095
CHMP7	0.621625
REM2	-0.031
DNHD1	-0.73425
FKBP4	-2.14975
ZNF350	2.34325
MGC11102	0.284875
BST1	-0.82975
KISS1R	0.6975
NCR2	0.5725
DEFB125	-1.5385
UBE2W	1.64025
KRT15	-3.890125
C10orf99	0.393
SCN11A	0.351375
GFI1	-2.82675
RDHE2	-0.7795
FHL1	-1.629
OSGEP	-0.0916666666666667
GATA1	-3.98866666666667
SMC6	-2.60775
TTTY14	1.05
LPIN3	0.46775
RPL4	-1.0007
