Hybridization REF	TCGA-A3-3380-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.630166666666667
CREB3L1	-0.48725
RPS11	0.6795
PNMA1	0.1595
MMP2	-1.4195
C10orf90	-2.3075
ZHX3	0.369833333333333
ERCC5	1.373
GPR98	-1.132
RXFP3	0.2645
APBB2	0.9985
PRO0478	-0.020625
KLHL13	-0.685
PRSSL1	-0.235666666666667
PDCL3	0.0888333333333333
DECR1	0.303875
SALL1	2.26516666666667
CADM4	-1.6445
RPS18	0.00807142857142857
HNRPD	0.1835
CFHR5	-0.0478
SLC10A7	0.134625
OR2K2	-0.388
LMAN1	-1.156375
SUHW1	-3.3115
CHD8	-1.2326
SUMO1	0.0991
GP1BA	0.4759
DDB1	-1.103
MYO9B	-0.0281
MMP7	4.75725
CRNKL1	-0.106375
C9orf45	-1.24583333333333
XAB2	-0.0985
RTN1	0.872125
KLHL14	-1.083375
TBX10	-1.152
CENPQ	-1.9265
UTY	2.52842857142857
ZBTB12	-0.052
DTNBP1	0.691625
KBTBD8	-1.54533333333333
ZEB1	1.65016666666667
ZG16	-1.72725
MIER1	-0.0762
ADAM5P	0.622
CHD9	0.4985625
STK16	-0.499
KIAA1486	-0.1395
TOB2	1.16733333333333
BANK1	3.223
OR2V2	0.52125
GRM2	0.0961666666666667
PROSC	0.921
SPIN2B	0.07175
PIR	-1.59088888888889
IPO9	-0.7407
EVC	1.72733333333333
CXCL13	1.56716666666667
KIAA1199	-4.3522
SORL1	1.60675
NAT10	-0.46625
CHD1	-0.505
SYN3	0.2875
SLC22A2	6.77625
SERPINF1	-1.702
WDR34	-1.08225
OR7A17	0.07825
C9orf11	0.1625
RNF216L	-1.2209
LHB	-0.2455
STK25	0.130875
TAOK3	1.428625
LOC152573	1.21
C3orf39	-0.499875
C14orf108	-0.0919
CDC25B	-1.85190909090909
BMP3	0.185
TMEM180	0.274
MAP1LC3C	-0.383
CRYGC	-1.0775
POU3F1	-0.9042
C20orf32	-0.776
CCDC95	-0.1175
HIGD1B	5.636
USP6NL	-0.425375
ABCD4	1.23966666666667
DIMT1L	-1.043
TEK	3.19125
SLC25A46	0.01025
LARP7	-1.548
CD160	1.624
MT1JP	0.711
PHF20	-0.3296875
CPNE4	-1.583
GTPBP1	-0.997071428571428
RAB33B	1.1255
ALDOC	-0.372625
ZNF212	-1.02475
NUDT1	-1.7315
RFPL2	1.69725
ZNF83	1.455
GDPD5	-0.869
PDCD4	1.0697
CEP350	-0.0345
OR10A2	0.139
CST7	1.469
CIAO1	-1.0195
SELL	1.691375
OR8J3	0.0195
LTBP4	-0.0531666666666667
SIRT6	-0.69025
CCL19	1.627
PPIL1	-1.64366666666667
GBP7	0.3035
STK17A	-1.4243
ABR	0.55425
OR9G1	-0.9465
FOXE1	-0.74925
CNGA3	-0.928
GML	-0.0235
CD38	-2.221
ZDHHC6	0.599
NEFH	-3.8685
CTDSP2	0.734333333333333
PGBD5	-0.257
CCNY	0.497785714285714
RMND5B	-0.0305833333333333
ZNF257	-0.73025
FLJ22167	-0.05575
EXOSC7	-1.814
ROR2	-1.038625
MAOA	2.739125
TNNT3	0.3285
GYPC	-0.92525
C7orf33	1.279
PLIN	0.942833333333333
LOC90826	-0.4405
RNF4	0.0072
F8A1	-0.317833333333333
PLEKHG4	-1.15775
GRB2	-0.4821
HIST1H2AD	-1.42975
DUS3L	-0.346333333333333
EIF1	1.04233333333333
RP5-1077B9.4	-1.9255
FPGT	0.9635
GDF10	1.45333333333333
COQ9	-0.00825
GCC2	0.787642857142857
RARRES3	2.37675
PLXNA1	-0.3603
KIAA0100	-0.5946
PMF1	-0.17325
FNDC1	3.844
HS2ST1	-0.149
CRELD2	-0.714
C8G	-1.9145
CD82	-1.44125
LIM2	-0.97
UNQ6490	-1.3605
MMP16	-0.3765
DRD3	0.04525
C5orf26	2.61975
C11orf73	-0.633875
PTP4A2	-0.6105
OR4M2	0.586
HPCA	1.311
SEC14L1	0.590333333333333
CHFR	0.0375
EMILIN1	0.090625
NDUFS4	0.26825
COL18A1	1.452375
PDZD3	2.2517
C9orf16	-1.123
ERBB2IP	0.230833333333333
EMX2	7.077
FUS	-2.077
TF	-4.5433
CLCN4	1.8645
CXorf56	0.71975
C11orf72	-0.01525
ELAC2	-1.61341666666667
NPR1	1.3585
ASS1	-1.40916666666667
USP42	-0.4595
POLR2J	-0.921
SEC23IP	0.1055
UQCRC1	-0.7955
LOC729603	0.10125
C1orf71	-0.9835
POLG	-3.2495
ADAM23	-3.606
TFR2	-1.167
RICTOR	0.0565
MGC39606	1.43875
C19orf55	-0.254625
SNAPC1	-0.286666666666667
GNA11	0.81675
CCDC52	-0.2115
FSIP1	0.877
UPF3A	-0.150375
IGSF11	-2.34516666666667
LAGE3	-1.9025
CHST6	-4.963
UNC13B	0.7335
TTLL4	-2.540625
ZNF687	-0.678625
SDC2	0.7523
COX7A2	-0.58525
LAMB4	0.8275
FAM24A	0.025
LRRTM3	-0.7545
GPHB5	-0.35175
OR4C13	-0.076
EIF3EIP	0.544714285714286
HABP4	1.1695
