Hybridization REF	TCGA-AS-3777-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.34075
CREB3L1	0.84525
RPS11	1.30325
PNMA1	0.1045
MMP2	-1.59633333333333
C10orf90	-2.019
ZHX3	0.083
ERCC5	-1.24275
GPR98	-1.177375
RXFP3	1.1835
APBB2	1.6675
PRO0478	-1.81775
KLHL13	0.3665
PRSSL1	0.133666666666667
PDCL3	0.0911666666666667
DECR1	1.071125
SALL1	0.0518333333333333
CADM4	1.40383333333333
RPS18	-0.0145
HNRPD	-1.13108333333333
CFHR5	0.683833333333333
SLC10A7	-0.05025
OR2K2	0.832
LMAN1	0.59975
SUHW1	-2.2495
CHD8	-1.6402
SUMO1	0.3802
GP1BA	0.1419
DDB1	-0.399166666666667
MYO9B	-1.0882
MMP7	6.8855
CRNKL1	0.41425
C9orf45	-1.939
XAB2	-0.482
RTN1	0.62325
KLHL14	-1.077625
TBX10	-0.417
CENPQ	-1.877
UTY	1.59642857142857
ZBTB12	0.0045
DTNBP1	-1.25275
KBTBD8	-1.4865
ZEB1	-0.597666666666667
ZG16	1.51
MIER1	0.0196
ADAM5P	0.395
CHD9	-0.2105
STK16	0.68825
KIAA1486	0.454
TOB2	0.0224166666666667
BANK1	2.4755
OR2V2	0.345
GRM2	0.605666666666667
PROSC	-0.1685
SPIN2B	1.2435
PIR	-1.84366666666667
IPO9	-1.1355
EVC	0.358833333333333
CXCL13	1.47183333333333
KIAA1199	-3.1412
SORL1	1.77375
NAT10	-0.9165
CHD1	-1.6615
SYN3	-0.6235
SLC22A2	0.60975
SERPINF1	-2.31066666666667
WDR34	-1.922
OR7A17	1.127
C9orf11	0.3255
RNF216L	-0.3833
LHB	0.324
STK25	-1.418375
TAOK3	0.794375
LOC152573	2.61375
C3orf39	0.590375
C14orf108	3.033
CDC25B	-2.56227272727273
BMP3	-0.1815
TMEM180	0.6925
MAP1LC3C	-0.032
CRYGC	-0.379
POU3F1	-0.9057
C20orf32	-0.7975
CCDC95	-0.5395
HIGD1B	6.15675
USP6NL	-0.662125
ABCD4	-0.182666666666667
DIMT1L	-0.562833333333333
TEK	1.826
SLC25A46	1.62075
LARP7	-1.386
CD160	1.02933333333333
MT1JP	1.2925
PHF20	-0.9589375
CPNE4	-1.842
GTPBP1	-0.8355
RAB33B	0.983666666666667
ALDOC	-2.744
ZNF212	-1.4625
NUDT1	-1.268
RFPL2	-2.80433333333333
ZNF83	0.704833333333333
GDPD5	-1.46425
PDCD4	1.93255
CEP350	-1.62575
OR10A2	1.68575
CST7	0.046
CIAO1	-0.607
SELL	0.714375
OR8J3	-0.0055
LTBP4	-0.390833333333333
SIRT6	-0.121
CCL19	5.63825
PPIL1	-0.9575
GBP7	0.610333333333333
STK17A	1.2677
ABR	-1.21225
OR9G1	1.1295
FOXE1	-0.056125
CNGA3	0.0155
GML	0.31
CD38	-2.24475
ZDHHC6	0.850666666666667
NEFH	-3.522
CTDSP2	-0.582416666666667
PGBD5	-0.734
CCNY	0.538571428571429
RMND5B	0.677833333333333
ZNF257	-0.35275
FLJ22167	0.722
EXOSC7	1.34983333333333
ROR2	-0.54475
MAOA	0.880125
TNNT3	0.1215
GYPC	-1.1295
C7orf33	0.9215
PLIN	0.7775
LOC90826	1.11575
RNF4	-0.204
F8A1	-0.568666666666667
PLEKHG4	-4.28825
GRB2	-1.1942
HIST1H2AD	-0.85125
DUS3L	-0.7795
EIF1	1.22133333333333
RP5-1077B9.4	-1.5395
FPGT	1.22625
GDF10	-2.144
COQ9	1.4645
GCC2	-0.937714285714286
RARRES3	4.07
PLXNA1	-1.2542
KIAA0100	-1.3453
PMF1	0.162
FNDC1	1.22025
HS2ST1	-0.75425
CRELD2	-0.53225
C8G	-0.891
CD82	-0.32975
LIM2	-0.6075
UNQ6490	0.6285
MMP16	-0.449
DRD3	0.5005
C5orf26	0.984
C11orf73	0.463625
PTP4A2	-0.15525
OR4M2	1.116
HPCA	-0.768666666666666
SEC14L1	-0.271166666666667
CHFR	-1.51475
EMILIN1	-0.186625
NDUFS4	1.83275
COL18A1	-1.6785
PDZD3	0.3609
C9orf16	-0.0265
ERBB2IP	0.501333333333333
EMX2	8.343
FUS	-2.90325
TF	-3.822
CLCN4	1.53833333333333
CXorf56	-0.296
C11orf72	0.39725
ELAC2	-1.91416666666667
NPR1	-1.04575
ASS1	-3.06383333333333
USP42	-0.939
POLR2J	0.4645
SEC23IP	1.02083333333333
UQCRC1	1.46525
