Hybridization REF	TCGA-B8-4620-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.964666666666667
CREB3L1	-0.46075
RPS11	1.0225
PNMA1	0.52375
MMP2	-1.94533333333333
C10orf90	-2.57625
ZHX3	0.196833333333333
ERCC5	0.844
GPR98	-1.93
RXFP3	0.8365
APBB2	0.80775
PRO0478	-0.175
KLHL13	-0.08875
PRSSL1	1.835
PDCL3	0.478666666666667
DECR1	-0.01175
SALL1	1.51183333333333
CADM4	0.245666666666667
RPS18	0.266928571428571
HNRPD	-0.590083333333333
CFHR5	0.92
SLC10A7	0.624125
OR2K2	0.561
LMAN1	-0.36775
SUHW1	-3.46925
CHD8	-0.713
SUMO1	0.4459
GP1BA	1.1918
DDB1	-0.769
MYO9B	-0.3493
MMP7	7.14
CRNKL1	0.182
C9orf45	-3.00116666666667
XAB2	-0.110875
RTN1	1.094625
KLHL14	-1.68675
TBX10	-0.9475
CENPQ	-1.48125
UTY	-1.53923076923077
ZBTB12	-0.379
DTNBP1	0.167875
KBTBD8	-0.755833333333333
ZEB1	2.0655
ZG16	-2.27775
MIER1	0.396
ADAM5P	-1.35
CHD9	0.3339375
STK16	-0.773
KIAA1486	-0.753
TOB2	0.973166666666667
BANK1	5.28525
OR2V2	0.1175
GRM2	-0.002
PROSC	0.903375
SPIN2B	-0.0625
PIR	-0.943555555555556
IPO9	-0.9689
EVC	1.64883333333333
CXCL13	1.86516666666667
KIAA1199	-3.4491
SORL1	2.326
NAT10	-0.1935
CHD1	-0.2745
SYN3	-0.39125
SLC22A2	5.72425
SERPINF1	0.232
WDR34	-1.17575
OR7A17	0.2085
C9orf11	-0.585
RNF216L	0.2493
LHB	-0.2125
STK25	-0.446625
TAOK3	-0.018875
LOC152573	1.37975
C3orf39	-0.295
C14orf108	-0.6027
CDC25B	-2.04336363636364
BMP3	-0.4485
TMEM180	0.1315
MAP1LC3C	0.5
CRYGC	-1.157
POU3F1	-0.4166
C20orf32	-1.1145
CCDC95	-0.5595
HIGD1B	5.0105
USP6NL	-1.30525
ABCD4	0.4625
DIMT1L	-0.60375
TEK	1.7135
SLC25A46	0.122
LARP7	-1.2477
CD160	1.12833333333333
MT1JP	1.14566666666667
PHF20	-0.218875
CPNE4	-2.22275
GTPBP1	-0.512642857142857
RAB33B	1.63133333333333
ALDOC	0.891875
ZNF212	-0.707
NUDT1	-0.685
RFPL2	-1.58075
ZNF83	0.0486666666666667
GDPD5	-0.7055
PDCD4	0.91585
CEP350	-0.52675
OR10A2	0.31425
CST7	0.74
CIAO1	0.153
SELL	1.769875
OR8J3	-0.5035
LTBP4	-0.0393333333333333
SIRT6	-0.57725
CCL19	3.37175
PPIL1	-1.794
GBP7	-0.272666666666667
STK17A	-0.4997
ABR	-0.18
OR9G1	-0.106
FOXE1	-0.5835
CNGA3	-1.3115
GML	-0.108
CD38	-1.83275
ZDHHC6	-0.0846666666666667
NEFH	-3.3795
CTDSP2	0.405916666666667
PGBD5	-1.14533333333333
CCNY	0.206
RMND5B	-0.109083333333333
ZNF257	-1.2115
FLJ22167	0.023125
EXOSC7	-0.536666666666667
ROR2	0.729125
MAOA	-0.124875
TNNT3	3.14516666666667
GYPC	0.3285
C7orf33	1.3435
PLIN	0.5615
LOC90826	-0.407
RNF4	-0.7988
F8A1	0.1915
PLEKHG4	-0.215
GRB2	-0.49955
HIST1H2AD	0.3625
DUS3L	-0.555666666666667
EIF1	0.157333333333333
RP5-1077B9.4	-1.673
FPGT	1.60925
GDF10	0.952333333333333
COQ9	0.248
GCC2	0.3355
RARRES3	2.678625
PLXNA1	-0.7721
KIAA0100	-0.8569
PMF1	-0.54275
FNDC1	3.21275
HS2ST1	0.540833333333333
CRELD2	0.41425
C8G	-2.502
CD82	1.922
LIM2	-0.5435
UNQ6490	-0.018
MMP16	-0.35975
DRD3	-0.06925
C5orf26	2.6705
C11orf73	-0.527875
PTP4A2	-0.255125
OR4M2	0.508
HPCA	1.49716666666667
SEC14L1	0.682666666666667
CHFR	-1.182375
