Hybridization REF	TCGA-BP-4161-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.774166666666667
CREB3L1	-0.4805
RPS11	1.3755
PNMA1	-0.037
MMP2	-1.7095
C10orf90	-2.19825
ZHX3	0.5625
ERCC5	0.9175
GPR98	-1.369625
RXFP3	1.449
APBB2	0.3525
PRO0478	-0.215125
KLHL13	0.407
PRSSL1	0.971666666666667
PDCL3	0.0521666666666667
DECR1	0.167875
SALL1	1.406
CADM4	-0.893333333333333
RPS18	0.491285714285714
HNRPD	-0.828833333333333
CFHR5	1.0055
SLC10A7	0.31575
OR2K2	-0.0115
LMAN1	-0.80975
SUHW1	-3.0035
CHD8	-1.2883
SUMO1	0.2941
GP1BA	3.3901
DDB1	-0.581
MYO9B	0.2678
MMP7	7.546
CRNKL1	-0.317125
C9orf45	-2.77033333333333
XAB2	-0.265875
RTN1	2.330375
KLHL14	-0.9405
TBX10	-0.8955
CENPQ	-1.72525
UTY	1.32015384615385
ZBTB12	0.058
DTNBP1	0.468625
KBTBD8	-0.1635
ZEB1	0.545666666666667
ZG16	-2.3315
MIER1	0.8359
ADAM5P	null
CHD9	0.3699375
STK16	0.25875
KIAA1486	-0.417
TOB2	1.10941666666667
BANK1	5.672
OR2V2	0.21225
GRM2	0.02
PROSC	0.66375
SPIN2B	-0.26875
PIR	-0.973777777777778
IPO9	-0.2924
EVC	1.3135
CXCL13	5.84316666666667
KIAA1199	-4.2123
SORL1	1.99475
NAT10	-0.47425
CHD1	-0.67425
SYN3	0.06725
SLC22A2	7.4285
SERPINF1	-0.801166666666667
WDR34	-1.005
OR7A17	0.2375
C9orf11	0.4255
RNF216L	-0.1592
LHB	0.57
STK25	-0.148875
TAOK3	0.691125
LOC152573	1.2685
C3orf39	-0.643125
C14orf108	-0.1086
CDC25B	-1.47836363636364
BMP3	0.4465
TMEM180	0.6875
MAP1LC3C	0.3065
CRYGC	-2.8135
POU3F1	-0.3732
C20orf32	-0.536
CCDC95	0.1755
HIGD1B	5.63125
USP6NL	-0.641125
ABCD4	0.968166666666667
DIMT1L	-0.410083333333333
TEK	1.76275
SLC25A46	0.02175
LARP7	-1.1768
CD160	2.21383333333333
MT1JP	-0.746833333333333
PHF20	-0.579125
CPNE4	-2.30575
GTPBP1	-0.648428571428571
RAB33B	1.6355
ALDOC	-0.20125
ZNF212	-0.4565
NUDT1	-1.26383333333333
RFPL2	-0.5635
ZNF83	0.799333333333333
GDPD5	-1.45475
PDCD4	0.8526
CEP350	-0.26675
OR10A2	0.5725
CST7	3.7625
CIAO1	0.06625
SELL	1.7845
OR8J3	0.056
LTBP4	-0.0845
SIRT6	-0.61625
CCL19	4.99075
PPIL1	-1.42333333333333
GBP7	1.363
STK17A	-0.3857
ABR	-0.019
OR9G1	-0.196
FOXE1	-0.374375
CNGA3	-0.3895
GML	-0.1
CD38	0.12075
ZDHHC6	-0.0808333333333333
NEFH	-2.654
CTDSP2	-0.333
PGBD5	-0.684
CCNY	0.604285714285714
RMND5B	-0.046
ZNF257	-1.1555
FLJ22167	-0.192625
EXOSC7	-1.67433333333333
ROR2	-0.343125
MAOA	3.15875
TNNT3	0.2015
GYPC	-0.823
C7orf33	2.057
PLIN	0.945333333333333
LOC90826	-0.195
RNF4	-0.3593
F8A1	0.749333333333333
PLEKHG4	-0.96725
GRB2	0.08275
HIST1H2AD	0.47175
DUS3L	-0.366166666666667
EIF1	0.091
RP5-1077B9.4	-1.0245
FPGT	1.52625
GDF10	-1.879
COQ9	0.27
GCC2	0.105857142857143
RARRES3	3.459625
PLXNA1	-0.6585
KIAA0100	-0.591
PMF1	0.764
FNDC1	1.75625
HS2ST1	0.595083333333333
CRELD2	0.438
C8G	-0.591
CD82	-0.04875
LIM2	-0.145
UNQ6490	-0.353
MMP16	-0.85525
DRD3	0.435
C5orf26	0.607
C11orf73	-0.679875
PTP4A2	-0.044125
OR4M2	0.215
HPCA	-0.204333333333333
SEC14L1	-0.355166666666667
CHFR	-0.091625
EMILIN1	0.40775
NDUFS4	-0.282
COL18A1	0.039125
PDZD3	3.0772
C9orf16	-0.187333333333333
ERBB2IP	0.6595
EMX2	7.54775
FUS	-2.063
TF	-2.854
CLCN4	1.13316666666667
CXorf56	0.18
C11orf72	0.03525
ELAC2	-0.936833333333334
NPR1	0.0895
ASS1	-1.05716666666667
USP42	-0.434
POLR2J	-0.7575
SEC23IP	0.376666666666667
UQCRC1	-0.41725
LOC729603	-0.79325
C1orf71	-0.291625
POLG	-2.1165
ADAM23	-3.67275
TFR2	-0.29925
RICTOR	-0.6621
MGC39606	1.9705
C19orf55	-0.326875
SNAPC1	0.107166666666667
GNA11	-0.048875
CCDC52	-0.641333333333333
FSIP1	0.0695
UPF3A	-0.504875
IGSF11	-1.1135
LAGE3	-0.59275
CHST6	-3.3365
UNC13B	-0.679875
TTLL4	-1.580875
ZNF687	-0.112
SDC2	0.3456
COX7A2	-0.33375
LAMB4	0.61525
FAM24A	0.4605
LRRTM3	-1.0815
GPHB5	0.3035
OR4C13	0.0285
EIF3EIP	0.507571428571429
HABP4	-0.4555
TMEM125	2.406
CNTN2	0.49475
ASNSD1	-0.4395
FUT4	-0.316625
ACF	1.2035
LOC158381	0.0585
CDH8	0.497
AGPS	0.582666666666667
C4orf18	1.2745
PECI	0.215583333333333
UNG	-0.590375
GSTP1	1.01975
DCUN1D5	-1.90866666666667
DKFZP564J0863	-0.01125
SLC9A3R1	0.827375
BCDO2	-0.067125
CHMP7	0.023125
REM2	-0.707
DNHD1	0.17175
FKBP4	-1.62175
ZNF350	1.4445
MGC11102	-0.128375
BST1	1.8295
KISS1R	2.019
NCR2	0.563
DEFB125	-1.6325
UBE2W	0.8355
KRT15	-2.50825
C10orf99	4.042
SCN11A	0.3415
GFI1	-0.1035
RDHE2	-2.4935
FHL1	1.06716666666667
OSGEP	0.5815
GATA1	-2.4835
SMC6	-1.44
TTTY14	1.64775
LPIN3	0.908
RPL4	-1.0132
RBPMS	1.3735
PRPF3	-1.0115
EMR1	1.3365
SPATA19	0.30775
XCR1	0.312
IRX3	2.1119
RBM6	-1.09625
KLF4	-0.8195
UNC5CL	2.9525
SEBOX	-0.621
BTK	0.77475
KRCC1	0.543
C6orf27	0.8565
SYTL5	-2.2075
PRND	2.754875
LOC653319	0.393
PIGL	-0.278125
HUS1	-0.291333333333333
SFRS6	-0.423416666666667
C17orf77	0.3855
UIMC1	-0.210666666666667
FXYD2	4.7541
LOC283152	0.878
ZNF667	-2.1815
ZCCHC12	-1.0565
TFEC	6.0846
ATP7B	0.552
POLD2	-1.2495
RG9MTD1	-0.67975
ACOT2	0.779
HIST1H4I	-0.995875
PPARGC1A	2.0027
ETFA	-0.8238
POLRMT	-0.3165
ZNF146	-0.873375
MIA2	4.338
KLHL6	0.764666666666667
HOXB5	0.104875
NENF	1.559
CUGBP1	-0.419
PRSS22	-0.598833333333333
CASC4	2.0072
CUL4B	0.3962
CENPJ	-1.7944
PITX1	-1.18716666666667
FLJ31033	0.539833333333333
CELSR3	-1.68083333333333
ZNF568	-0.38975
ITSN1	0.103833333333333
EHBP1L1	0.0291666666666667
C19orf2	-0.2385
DCTN1	-0.8355
LIN28B	-4.02116666666667
TNKS2	-0.327
C1QBP	-0.8195
CADPS2	0.78525
SRMS	0.2135
GJA9	0.208833333333333
MGC24975	0.1605
TRIM45	-1.3045
TSP50	-0.00625
TCP1	-1.25225
TMED7	1.1934
CMA1	0.386
CENPL	-1.55883333333333
PTCRA	1.1685
FST	-3.703
VWCE	0.5895
PAWR	-0.808
ABCC12	-0.158
LDLR	-2.6785
ASTN2	0.3904
LOC441212	-0.6385
GPATCH8	-0.45225
TANC2	-0.854333333333333
KIF4A	-2.584
C18orf18	0.059
PGM1	0.5145
KIAA0258	1.0395
CPD	-0.239375
SNCAIP	-2.103
DCT	-3.19383333333333
HLA-DOA	4.09240909090909
OR11L1	0.9745
UPK1B	0.632166666666667
DNAJB4	0.53575
UGT1A8	5.74575
HIST1H4L	-0.2065
PECR	0.425
HSPA2	0.72625
WFIKKN1	0.3775
SERP1	-0.14525
SYDE2	0.676
TACR2	0.4405
NUP85	-1.07275
CD177	-0.729833333333333
LGR5	-2.69983333333333
PIGG	-0.34075
PTHR1	1.06966666666667
RAB5A	-0.7863
FLJ13224	0.003
USP9Y	0.673
C7orf53	-0.564
LRP1B	-1.72125
XAF1	2.4657
ABCG8	-1.412
ANKDD1A	-0.6865
DAND5	-1.1775
SPAG6	0.432666666666667
LINCR	3.68575
ZDHHC22	-1.016
CCDC60	1.003
THOC7	-1.41933333333333
TCTA	1.0189
OR8K3	0.191
NY-REN-7	-0.09525
B2M	3.023
C6orf141	-2.30725
LPPR4	-0.24575
SQLE	-2.290875
SEPHS1	-0.57975
BTBD14B	0.541142857142857
PLRG1	-0.41825
SPG7	-0.2713125
ZNF614	-0.404166666666667
PARD6G	1.57283333333333
INPP5B	-1.1754
GRPEL2	0.2245
PPID	-1.0772
TRIM56	0.2225
UBE2J1	-0.015
IL20RA	-1.512
LOC387856	-0.36125
C1orf107	0.538916666666667
UTS2R	2.49725
C19orf22	-0.5495
SAFB2	0.544125
KIAA0652	-0.06775
KLRG1	0.95
MS4A8B	-0.358166666666667
FRAG1	-0.08475
KIAA1546	-0.49275
E2F4	-0.934
CLEC4M	0.0965
BTBD14A	-0.71125
KIAA0999	0.2952
GYPA	-3.28083333333333
TAC1	-1.2506
TRAIP	-2.23983333333333
KIAA0232	0.3174
ERCC8	-1.26375
GPX4	1.271625
KIAA0368	-0.616
GPR157	-0.449833333333333
CTAGE4	-0.3135
C9orf30	-0.0668333333333333
OR52A1	0.1905
HSP90B3P	0.1345
ALG9	-0.5213
BTBD10	0.0665
SDK2	0.283
BAIAP3	-1.3295
RABGGTB	-0.8485
