Hybridization REF	TCGA-CJ-4636-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.441666666666667
CREB3L1	-0.2575
RPS11	-0.048
PNMA1	-0.425
MMP2	-1.0405
C10orf90	-1.68525
ZHX3	0.524
ERCC5	0.96275
GPR98	-1.80925
RXFP3	0.5255
APBB2	-0.094
PRO0478	0.409125
KLHL13	-1.404
PRSSL1	1.318
PDCL3	-0.158166666666667
DECR1	0.20625
SALL1	0.708166666666667
CADM4	-0.863833333333333
RPS18	-0.553214285714286
HNRPD	-0.933
CFHR5	-0.0663333333333333
SLC10A7	-0.493
OR2K2	0.6655
LMAN1	-1.449875
SUHW1	-3.536
CHD8	-0.602
SUMO1	-0.1546
GP1BA	0.6808
DDB1	-0.284333333333333
MYO9B	0.574
MMP7	6.8
CRNKL1	-0.578
C9orf45	-1.163
XAB2	-0.040625
RTN1	1.480375
KLHL14	-0.729125
TBX10	-1.431
CENPQ	-1.86625
UTY	0.545
ZBTB12	0.398
DTNBP1	0.260375
KBTBD8	-0.673333333333333
ZEB1	1.259
ZG16	-1.813
MIER1	0.6954
ADAM5P	1.6425
CHD9	1.06125
STK16	0.099
KIAA1486	-0.6955
TOB2	0.5275
BANK1	3.7245
OR2V2	0.21975
GRM2	-0.0035
PROSC	0.924875
SPIN2B	-0.081
PIR	-1.72555555555556
IPO9	-0.0985
EVC	1.66316666666667
CXCL13	5.16066666666667
KIAA1199	-2.8851
SORL1	2.014
NAT10	-0.7275
CHD1	-0.32975
SYN3	-0.20275
SLC22A2	6.478
SERPINF1	-0.409333333333333
WDR34	-0.1355
OR7A17	-0.0575
C9orf11	1.377
RNF216L	0.3719
LHB	0.1095
STK25	0.215875
TAOK3	1.659875
LOC152573	1.42925
C3orf39	-0.438375
C14orf108	-0.5271
CDC25B	-1.09445454545455
BMP3	-0.1395
TMEM180	0.246
MAP1LC3C	-0.2285
CRYGC	-2.0605
POU3F1	-0.3878
C20orf32	-1.6565
CCDC95	0.4905
HIGD1B	4.52925
USP6NL	-0.66175
ABCD4	0.697833333333333
DIMT1L	-0.72475
TEK	2.341375
SLC25A46	-0.166
LARP7	-1.1717
CD160	1.65433333333333
MT1JP	-0.0916666666666667
PHF20	-0.4966875
CPNE4	-1.756
GTPBP1	-0.345928571428571
RAB33B	1.00666666666667
ALDOC	-0.63225
ZNF212	0.01875
NUDT1	-0.61
RFPL2	-2.57175
ZNF83	1.4045
GDPD5	-0.871125
PDCD4	0.3357
CEP350	-0.3815
OR10A2	0.396
CST7	2.7065
CIAO1	-0.466
SELL	1.046125
OR8J3	0.4275
LTBP4	0.229833333333333
SIRT6	-0.0385
CCL19	4.059
PPIL1	-2.2495
GBP7	2.42816666666667
STK17A	-0.5499
ABR	0.7795
OR9G1	0.0245
FOXE1	-0.67575
CNGA3	-0.371
GML	0.1215
CD38	-0.73825
ZDHHC6	0.162666666666667
NEFH	-2.35275
CTDSP2	0.823583333333333
PGBD5	1.69916666666667
CCNY	0.620571428571429
RMND5B	0.510916666666667
ZNF257	-1.61775
FLJ22167	-0.2255
EXOSC7	-1.37383333333333
ROR2	-0.365875
MAOA	2.71975
TNNT3	1.34733333333333
GYPC	0.53925
C7orf33	1.3865
PLIN	0.7205
LOC90826	-0.7565
RNF4	-0.1805
F8A1	1.09016666666667
PLEKHG4	-1.27425
GRB2	0.4254
HIST1H2AD	-0.235
DUS3L	-0.297166666666667
EIF1	-0.121
RP5-1077B9.4	-0.571666666666667
FPGT	1.116
GDF10	-0.722333333333333
COQ9	1.3365
GCC2	0.5005
RARRES3	3.2365
PLXNA1	-0.0713
KIAA0100	-0.5046
PMF1	0.1365
FNDC1	4.06775
HS2ST1	0.254916666666667
CRELD2	0.35525
C8G	0.0315
CD82	0.8405
LIM2	-1.6105
UNQ6490	-0.115
MMP16	-0.62975
DRD3	0.05175
C5orf26	0.104
C11orf73	-1.07675
PTP4A2	-0.025375
OR4M2	0.573
HPCA	0.498833333333333
SEC14L1	0.248833333333333
CHFR	0.31525
EMILIN1	0.85625
NDUFS4	-0.117
COL18A1	1.479625
PDZD3	3.8325
C9orf16	-0.179
ERBB2IP	0.981833333333333
EMX2	5.93975
FUS	-0.67925
TF	-2.6853
CLCN4	1.224
CXorf56	-0.2445
C11orf72	0.33425
ELAC2	-0.0915
NPR1	1.13375
ASS1	-0.612833333333333
USP42	0.109875
POLR2J	0.0415
SEC23IP	0.2305
UQCRC1	-0.12275
LOC729603	0.88425
C1orf71	-0.82175
POLG	-2.1375
ADAM23	-2.743
TFR2	-1.276
RICTOR	0.1118
MGC39606	2.44825
C19orf55	-0.372125
SNAPC1	-1.4925
GNA11	0.78825
CCDC52	-0.293833333333333
FSIP1	-0.202
UPF3A	-0.48425
IGSF11	-1.456
LAGE3	-0.896
CHST6	-3.2935
UNC13B	0.3465
TTLL4	-0.91625
ZNF687	-0.44375
SDC2	-0.0093
COX7A2	-0.078
LAMB4	-0.573
FAM24A	-0.255
LRRTM3	-0.684833333333334
GPHB5	-0.74675
OR4C13	-0.3565
EIF3EIP	-0.453142857142857
HABP4	0.7335
TMEM125	2.878
CNTN2	-0.13075
ASNSD1	-1.0225
FUT4	0.10925
ACF	0.45975
LOC158381	-0.4455
CDH8	2.02425
AGPS	-0.587333333333333
C4orf18	1.6365
PECI	-0.0591666666666667
UNG	-0.698625
GSTP1	-0.928875
DCUN1D5	-2.15233333333333
DKFZP564J0863	-0.99725
SLC9A3R1	0.614125
BCDO2	1.410125
CHMP7	-0.3095
REM2	0.3785
DNHD1	0.210625
FKBP4	-0.867375
ZNF350	0.54275
MGC11102	-0.274
BST1	2.72925
KISS1R	1.321
NCR2	0.5515
DEFB125	-1.405
UBE2W	0.3105
KRT15	-2.57025
C10orf99	2.7395
SCN11A	0.812375
GFI1	-1.04875
RDHE2	-1.5722
FHL1	4.01733333333333
OSGEP	-0.4685
GATA1	-2.72216666666667
SMC6	-1.32275
TTTY14	0.458
LPIN3	0.736
RPL4	-0.8951
RBPMS	1.8632
PRPF3	-0.512666666666667
EMR1	-0.6495
SPATA19	0.467
XCR1	-0.1505
IRX3	2.3641
RBM6	-0.587
KLF4	-0.2593
UNC5CL	3.7075
SEBOX	0.6
BTK	0.3045
KRCC1	1.0975
C6orf27	0.5415
SYTL5	-1.2455
PRND	2.829375
LOC653319	0.3175
PIGL	-0.236
HUS1	-0.368333333333333
SFRS6	-0.717083333333333
C17orf77	0.0395
UIMC1	-0.0241666666666667
FXYD2	4.2194
LOC283152	0.72875
ZNF667	-1.4225
ZCCHC12	-1.28175
TFEC	5.4538
ATP7B	-0.5695
POLD2	-0.813333333333333
RG9MTD1	-1.23175
ACOT2	-0.00166666666666667
HIST1H4I	-1.301125
PPARGC1A	1.8394
ETFA	-1.138
POLRMT	-0.2085
ZNF146	-1.424375
MIA2	4.023
KLHL6	0.984333333333333
HOXB5	0.27425
NENF	0.0695
CUGBP1	-0.7455
PRSS22	-1.11416666666667
CASC4	1.4239
CUL4B	-0.2282
CENPJ	-1.8903
PITX1	-1.31016666666667
FLJ31033	0.2405
CELSR3	-2.22466666666667
ZNF568	-0.58075
ITSN1	0.00325000000000002
EHBP1L1	0.0823333333333333
C19orf2	-0.84175
DCTN1	0.181
LIN28B	-3.88083333333333
TNKS2	-0.6425
C1QBP	-1.36875
CADPS2	1.87925
SRMS	0.484
GJA9	0.133
MGC24975	0.044
TRIM45	-1.85383333333333
TSP50	0.08125
TCP1	-1.50025
TMED7	0.3752
CMA1	-0.537
CENPL	-1.56333333333333
PTCRA	1.087
FST	-3.1285
VWCE	-1.1425
PAWR	-0.1785
ABCC12	-0.263666666666667
LDLR	-2.4661
ASTN2	1.4929
LOC441212	-0.073875
GPATCH8	-0.3155
