Extract Name	Comment [TCGA Barcode]	Material Type	Protocol REF	Assay Name	Protocol REF	Assay Name	Protocol REF	Assay Name	Comment [NCBI SRA Experiment Accession]	Annotation REF	Protocol REF	Data Transformation Name	Derived Data File REF	Comment [Genome reference]	Comment [NCBI dbGAP Experiment Accession]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Protocol REF	Data Transformation Name	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296779.rsem.isoforms.results	yes	RSEM_isoforms	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296778.rsem.genes.results	yes	RSEM_genes	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2317178.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:junction_quantification:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296570.junction_quantification.txt	yes	junction_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes_normalized:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296798.rsem.genes.normalized_results	yes	RSEM_genes_normalized	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
f9a8731b-2c45-48b0-b5df-3fe8d4706c12	TCGA-B2-3923-01B-10R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 consensus_RNA	UNCID_2296561.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms_normalized:IlluminaHiSeq_TotalRNASeqV2:3	f9a8731b-2c45-48b0-b5df-3fe8d4706c12 gene_expression	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296795.rsem.isoforms.normalized_results	yes	RSEM_isoforms_normalized	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
7ee68b4e-e81d-438d-97b2-d89fe7405a74	TCGA-B2-3924-01B-03R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 consensus_RNA	UNCID_2279025.7ee68b4e-e81d-438d-97b2-d89fe7405a74.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 gene_expression	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279474.rsem.isoforms.results	yes	RSEM_isoforms	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
7ee68b4e-e81d-438d-97b2-d89fe7405a74	TCGA-B2-3924-01B-03R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 consensus_RNA	UNCID_2279025.7ee68b4e-e81d-438d-97b2-d89fe7405a74.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 gene_expression	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279473.rsem.genes.results	yes	RSEM_genes	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
7ee68b4e-e81d-438d-97b2-d89fe7405a74	TCGA-B2-3924-01B-03R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 consensus_RNA	UNCID_2279025.7ee68b4e-e81d-438d-97b2-d89fe7405a74.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 gene_expression	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2317198.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
7ee68b4e-e81d-438d-97b2-d89fe7405a74	TCGA-B2-3924-01B-03R-A277-07	Total RNA - FFPE	unc.edu:reverse_transcription:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_RNA:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 consensus_RNA	UNCID_2279025.7ee68b4e-e81d-438d-97b2-d89fe7405a74.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:junction_quantification:IlluminaHiSeq_TotalRNASeqV2:3	7ee68b4e-e81d-438d-97b2-d89fe7405a74 gene_expression	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279057.junction_quantification.txt	yes	junction_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.Level_3.1.0.0
