Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	UNC	AgilentG4502A_07_3	n/a	selected_samples	N/A	unc.edu_KIRC.AgilentG4502A_07_3.idf.txt
METADATA	UNC	AgilentG4502A_07_3	n/a	selected_samples	N/A	unc.edu_KIRC.AgilentG4502A_07_3.sdrf.txt
METADATA	UNC	IlluminaHiSeq_TotalRNASeqV2	n/a	selected_samples	N/A	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.1.0.0.idf.txt
METADATA	UNC	IlluminaHiSeq_TotalRNASeqV2	n/a	selected_samples	N/A	unc.edu_KIRC.IlluminaHiSeq_TotalRNASeqV2.1.0.0.sdrf.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2279015.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2279389.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2279390.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2279432.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2279434.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.406d5669-f183-45eb-9a5c-df6fe081d1fe.2317185.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2279416.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2279639.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2279640.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2279650.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2279653.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.4ad0254b-a6c5-4ff2-94ec-8711210c0820.2316997.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2275681.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2276289.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2276290.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2276304.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2276305.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.59f2977c-e553-4968-a1f8-c902e1e45ef2.2316978.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2279008.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2279394.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2279395.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2279431.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2279433.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5633-01	TCGA-B2-5633-01A-01R-A277-07/TCGA-B2-5633-01B-04R-A277-07	unc.edu.5f7fa5f2-7ba5-47ba-8748-68caf2d08950.2317200.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279057.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279473.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279474.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279496.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2279497.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.7ee68b4e-e81d-438d-97b2-d89fe7405a74.2317198.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2279093.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2279456.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2279457.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2279480.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2279483.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3924-01	TCGA-B2-3924-01A-02R-A277-07/TCGA-B2-3924-01B-03R-A277-07	unc.edu.8a59f553-05f9-4f5e-bb4e-2b119e6af0e5.2316974.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2279158.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2279599.rsem.genes.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2279600.rsem.isoforms.results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2279610.rsem.genes.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2279613.rsem.isoforms.normalized_results
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-5635-01	TCGA-B2-5635-01B-04R-A277-07/TCGA-B2-5635-01A-01R-A277-07	unc.edu.bfc09e68-6bea-41d3-be16-5691731c5b69.2316998.bt.exon_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296570.junction_quantification.txt
TotalRNASeqV2	UNC	IlluminaHiSeq_TotalRNASeqV2	3	TCGA-B2-3923-01	TCGA-B2-3923-01A-02R-A277-07/TCGA-B2-3923-01B-10R-A277-07	unc.edu.f9a8731b-2c45-48b0-b5df-3fe8d4706c12.2296778.rsem.genes.results
