US82800149_251976011553	s1
US82800149_251976011554	s2
US82800149_251976011555	s3
US82800149_251976011556	s4
US82800149_251976011557	s5
US82800149_251976011558	s6
US82800149_251976011559	s7
US82800149_251976011560	s8
US82800149_251976011561	s9
US82800149_251976011562	s10
US82800149_251976011563	s11
US82800149_251976011565	s12
US82800149_251976011566	s13
US82800149_251976011567	s14
US82800149_251976011568	s15
US82800149_251976011569	s16
US82800149_251976011570	s17
US82800149_251976011571	s18
US82800149_251976011572	s19
US82800149_251976011573	s20
US82800149_251976011574	s21
US82800149_251976011575	s22
US82800149_251976011576	s23
US82800149_251976011577	s24
US82800149_251976011578	s25
US82800149_251976011579	s26
US82800149_251976011580	s27
US82800149_251976011581	s28
US82800149_251976011582	s29
US82800149_251976011583	s30
US82800149_251976011584	s31
US82800149_251976011585	s32
US82800149_251976011619	s33
US82800149_251976011620	s34
US82800149_251976011621	s35
US82800149_251976011622	s36
US82800149_251976011623	s37
US82800149_251976011624	s38
US82800149_251976011625	s39
US82800149_251976011626	s40
US82800149_251976011627	s41
US82800149_251976012266	s42
US82800149_251976012267	s43
US82800149_251976012268	s44
US82800149_251976012269	s45
US82800149_251976012270	s46
US82800149_251976012271	s47
US82800149_251976012272	s48
US82800149_251976012273	s49
US82800149_251976012274	s50
US82800149_251976012275	s51
US82800149_251976012276	s52
US82800149_251976012277	s53
US82800149_251976012278	s54
US82800149_251976012279	s55
US82800149_251976012280	s56
US82800149_251976012281	s57
US82800149_251976012282	s58
US82800149_251976012283	s59
US82800149_251976012284	s60
US82800149_251976012285	s61
US82800149_251976012286	s62
US82800149_251976012287	s63
US82800149_251976012288	s64
US82800149_251976012289	s65
US82800149_251976012291	s66
US82800149_251976012292	s67
US82800149_251976012295	s68
US82800149_251976012296	s69
US82800149_251976012297	s70
US82800149_251976012298	s71
US82800149_251976012299	s72
